locus	pop1	metric	value
MrChr2G10730	DK	TajD	2.03684
MrChr2G13330	DK	pi	0
MrChr2G14930	DK	pi	0
MrChr2G15030	DK	pi	0.000338002
MrChr2G15030	DK	TajD	2.16737
MrChr2G15130	DK	pi	0.00149962
MrChr2G15130	DK	TajD	2.15921
MrChr2G15890	DK	pi	0
MrChr2G16590	DK	pi	0.000505612
MrChr2G16590	DK	TajD	1.44835
MrChr2G16690	DK	pi	0
MrChr2G20670	DK	pi	0
MrChr2G22570	DK	pi	0.00258405
MrChr2G22570	DK	TajD	-1.2671
MrChr2G25580	DK	pi	0
MrChr2G30240	DK	pi	0.00044959
MrChr2G30240	DK	TajD	1.64669
MrChr3G00180	DK	pi	5.43E-05
MrChr3G00180	DK	TajD	-1.14244
MrChr3G00460	DK	pi	0.00038338
MrChr3G00460	DK	TajD	1.63429
MrChr3G04280	DK	pi	0.000996016
MrChr3G04280	DK	TajD	2.03684
MrChr3G07570	DK	pi	0.000509973
MrChr3G07570	DK	TajD	-2.2921
MrChr3G10290	DK	pi	0.00206782
MrChr3G10290	DK	TajD	1.44835
MrChr3G10890	DK	pi	0.000855578
MrChr3G10890	DK	TajD	-0.817248
MrChr3G13230	DK	pi	0
MrChr3G20360	DK	pi	0.00232817
MrChr3G20360	DK	TajD	2.66482
MrChr3G22750	DK	pi	0
MrChr3G23140	DK	pi	0.00288138
MrChr3G23140	DK	TajD	0.788687
MrChr3G25540	DK	pi	0.000523913
MrChr3G25540	DK	TajD	-0.138355
MrChr3G29020	DK	pi	0.00042605
MrChr3G29020	DK	TajD	-0.138355
MrChr3G36920	DK	pi	0
MrChr3G37380	DK	pi	0
MrChr4G01810	DK	pi	0
MrChr4G03830	DK	pi	0.00024922
MrChr4G03830	DK	TajD	1.17211
MrChr4G15970	DK	pi	0.000101191
MrChr4G15970	DK	TajD	0.992634
MrChr4G20550	DK	pi	0.000443918
MrChr4G20550	DK	TajD	1.90632
MrChr4G22750	DK	pi	0.000179211
MrChr4G22750	DK	TajD	-0.138355
MrChr4G26970	DK	pi	0.000841196
MrChr4G26970	DK	TajD	-0.421865
MrChr4G28720	DK	pi	0.00022335
MrChr4G28720	DK	TajD	-0.138355
MrChr4G29040	DK	pi	0.000504581
MrChr4G29040	DK	TajD	-0.201376
MrChr5G05510	DK	pi	0
MrChr5G05610	DK	pi	0.000158395
MrChr5G05610	DK	TajD	0.859215
MrChr5G15510	DK	pi	0.000547414
MrChr5G15510	DK	TajD	2.95796
MrChr5G19770	DK	pi	0.000121555
MrChr5G19770	DK	TajD	-0.589997
MrChr5G21500	DK	pi	0.000114344
MrChr5G21500	DK	TajD	-0.448258
MrChr5G23460	DK	pi	1.55E-05
MrChr5G23460	DK	TajD	-1.14244
MrChr5G23730	DK	pi	0.000740098
MrChr5G23730	DK	TajD	-0.678618
MrChr5G24210	DK	pi	9.38E-05
MrChr5G24210	DK	TajD	-0.448258
MrChr5G24670	DK	pi	0.000301726
MrChr5G24670	DK	TajD	-0.678618
MrChr5G26540	DK	pi	4.07E-05
MrChr5G26540	DK	TajD	-1.14244
MrChr5G29250	DK	pi	0
MrChr5G29830	DK	pi	0.00109853
MrChr5G29830	DK	TajD	1.63429
MrChr6G09750	DK	pi	0.00039413
MrChr6G09750	DK	TajD	0.323687
MrChr6G11030	DK	pi	0.000685214
MrChr6G11030	DK	TajD	-2.03479
MrChr6G11270	DK	pi	0.00083477
MrChr6G11270	DK	TajD	-1.32323
MrChr6G15960	DK	pi	0
MrChr6G16590	DK	pi	0.000460433
MrChr6G16590	DK	TajD	-2.49716
MrChr6G18350	DK	pi	0.000198542
MrChr6G18350	DK	TajD	-1.92597
MrChr6G19900	DK	pi	0
MrChr6G24200	DK	pi	0.00116315
MrChr6G24200	DK	TajD	1.63429
MrChr6G29040	DK	pi	0
MrChr6G29230	DK	pi	0.00052687
MrChr6G29230	DK	TajD	-2.62294
MrChr6G30240	DK	pi	0.00103857
MrChr6G30240	DK	TajD	-1.09308
MrChr6G30340	DK	pi	0.00154141
MrChr6G30340	DK	TajD	-0.517313
MrChr6G32030	DK	pi	0
MrChr6G32210	DK	pi	0.000201393
MrChr6G32210	DK	TajD	-2.19473
MrChr6G32610	DK	pi	0.000533141
MrChr6G32610	DK	TajD	-0.678618
MrChr6G32810	DK	pi	0
MrChr6G32910	DK	pi	0
MrChr6G33940	DK	pi	0
MrChr6G34060	DK	pi	0.000227273
MrChr6G34060	DK	TajD	-1.14244
MrChr6G34260	DK	pi	0
MrChr6G35080	DK	pi	0.000181862
MrChr6G35080	DK	TajD	-2.48799
MrChr6G36870	DK	pi	0.000178368
MrChr6G36870	DK	TajD	-2.00835
MrChr7G01060	DK	pi	0.000840601
MrChr7G01060	DK	TajD	3.02974
MrChr7G04150	DK	pi	0
MrChr7G06340	DK	pi	0.000572628
MrChr7G06340	DK	TajD	1.59213
MrChr7G07460	DK	pi	0.000166789
MrChr7G07460	DK	TajD	2.16737
MrChr7G07560	DK	pi	0.00138447
MrChr7G07560	DK	TajD	1.90632
MrChr7G09020	DK	pi	0.000286763
MrChr7G09020	DK	TajD	-0.0655785
MrChr7G12770	DK	pi	0
MrChr7G14840	DK	pi	0
MrChr7G15690	DK	pi	0.000359644
MrChr7G15690	DK	TajD	1.02288
MrChr7G17430	DK	pi	0.000347125
MrChr7G17430	DK	TajD	2.02869
MrChr7G17610	DK	pi	0.00716256
MrChr7G17610	DK	TajD	0.146756
MrChr7G19430	DK	pi	0
MrChr7G22380	DK	pi	0.000531478
MrChr7G22380	DK	TajD	1.83135
MrChr7G22810	DK	pi	0
MrChr7G24810	DK	pi	0
MrChr7G25890	DK	pi	0.000967079
MrChr7G25890	DK	TajD	0.489357
MrChr7G27110	DK	pi	0.000423625
MrChr7G27110	DK	TajD	-1.74448
MrChr8G00030	DK	pi	0.000240385
MrChr8G00030	DK	TajD	-1.88876
MrChr8G00130	DK	pi	0.000389748
MrChr8G00130	DK	TajD	-2.63273
MrChr8G03060	DK	pi	0.00137687
MrChr8G03060	DK	TajD	-0.138355
MrChr8G03490	DK	pi	0
MrChr8G04380	DK	pi	0.00157411
MrChr8G04380	DK	TajD	2.02869
MrChr8G07360	DK	pi	0.00445001
MrChr8G07360	DK	TajD	-0.0135489
MrChr8G07500	DK	pi	0.000415282
MrChr8G07500	DK	TajD	-1.50368
MrChr8G10300	DK	pi	0
MrChr8G12150	DK	pi	0.000295994
MrChr8G12150	DK	TajD	-0.271247
MrChr8G13560	DK	pi	0.00229079
MrChr8G13560	DK	TajD	-0.263703
MrChr8G14650	DK	pi	0.00065445
MrChr8G14650	DK	TajD	-1.88876
MrChr8G17070	DK	pi	0
MrChr8G18070	DK	pi	0.00176411
MrChr8G18070	DK	TajD	-0.182102
MrChr8G18750	DK	pi	0.000239075
MrChr8G18750	DK	TajD	-0.271247
MrChr8G20870	DK	pi	0
MrChr8G23190	DK	pi	0
MrChr8G26240	DK	pi	4.93E-05
MrChr8G26240	DK	TajD	-1.50368
MrChr1G19140	DK	pi	0
MrChr1G19250	DK	pi	0.000274123
MrChr1G19250	DK	TajD	-1.14244
MrChr1G20540	DK	pi	0.000170227
MrChr1G20540	DK	TajD	1.64669
MrChr1G21250	DK	pi	0
MrChr1G28040	DK	pi	0.000281331
MrChr1G28040	DK	TajD	3.4698
MrChr1G28900	DK	pi	0.000158542
MrChr1G28900	DK	TajD	1.44835
MrChr1G33560	DK	pi	0
MrChr1G33690	DK	pi	3.17E-05
MrChr1G33690	DK	TajD	-1.14244
MrChr1G33980	DK	pi	0
MrChr1G34260	DK	pi	0
MrChr1G35910	DK	pi	2.46E-05
MrChr1G35910	DK	TajD	-1.14244
MrChr1G36140	DK	pi	0
MrChr2G00120	DK	pi	0
MrChr2G07040	DK	pi	0.0179839
MrChr2G07040	DK	TajD	1.52813
MrChr2G12390	DK	pi	0.000885017
MrChr2G12390	DK	TajD	-0.706408
MrChr2G13350	DK	pi	0
MrChr2G14950	DK	pi	6.15E-05
MrChr2G14950	DK	TajD	-0.448258
MrChr2G15050	DK	pi	0.000649149
MrChr2G15050	DK	TajD	2.8446
MrChr2G15150	DK	pi	0.000573394
MrChr2G15150	DK	TajD	-1.14244
MrChr2G15910	DK	pi	0
MrChr2G16610	DK	pi	0
MrChr2G16820	DK	pi	0
MrChr2G20690	DK	pi	2.71E-05
MrChr2G20690	DK	TajD	-1.14244
MrChr2G22590	DK	pi	0
MrChr2G29410	DK	pi	8.05E-05
MrChr2G29410	DK	TajD	-1.14244
MrChr2G30290	DK	pi	0
MrChr3G00200	DK	pi	0.000392153
MrChr3G00200	DK	TajD	1.63429
MrChr3G00480	DK	pi	0.000411866
MrChr3G00480	DK	TajD	-0.842892
MrChr3G05480	DK	pi	0.000491284
MrChr3G05480	DK	TajD	-1.30751
MrChr3G07590	DK	pi	0.000527524
MrChr3G07590	DK	TajD	-1.04894
MrChr3G10450	DK	pi	0
MrChr3G11150	DK	pi	0
MrChr3G13340	DK	pi	0.00187614
MrChr3G13340	DK	TajD	0.00352143
MrChr3G20550	DK	pi	0.00204092
MrChr3G20550	DK	TajD	1.53512
MrChr3G22770	DK	pi	0.00117752
MrChr3G22770	DK	TajD	0.201319
MrChr3G23520	DK	pi	0.00144712
MrChr3G23520	DK	TajD	0.0469708
MrChr3G27570	DK	pi	0.000300674
MrChr3G27570	DK	TajD	-0.138355
MrChr3G29040	DK	pi	4.98E-05
MrChr3G29040	DK	TajD	-0.448258
MrChr3G36940	DK	pi	0.000107236
MrChr3G36940	DK	TajD	1.64669
MrChr4G00110	DK	pi	0.000148907
MrChr4G00110	DK	TajD	0.270017
MrChr4G01830	DK	pi	0
MrChr4G04070	DK	pi	0.000214392
MrChr4G04070	DK	TajD	1.63429
MrChr4G16500	DK	pi	0.00113471
MrChr4G16500	DK	TajD	-0.138355
MrChr4G20570	DK	pi	0
MrChr4G23290	DK	pi	0
MrChr4G27500	DK	pi	0.000106916
MrChr4G27500	DK	TajD	-0.138355
MrChr4G28740	DK	pi	0
MrChr4G29340	DK	pi	0.000190876
MrChr4G29340	DK	TajD	-0.182102
MrChr5G05530	DK	pi	0
MrChr5G05650	DK	pi	0
MrChr5G06740	DK	pi	0
MrChr5G09110	DK	pi	0
MrChr5G16070	DK	pi	0
MrChr5G19800	DK	pi	9.71E-05
MrChr5G19800	DK	TajD	-0.589997
MrChr5G21520	DK	pi	0
MrChr5G23580	DK	pi	0
MrChr5G23750	DK	pi	7.89E-05
MrChr5G23750	DK	TajD	-0.448258
MrChr5G24590	DK	pi	0
MrChr5G25340	DK	pi	0
MrChr5G27120	DK	pi	0
MrChr5G29270	DK	pi	0
MrChr5G30250	DK	pi	0.000441931
MrChr5G30250	DK	TajD	3.00693
MrChr6G10930	DK	pi	0.000236374
MrChr6G10930	DK	TajD	1.63429
MrChr6G11190	DK	pi	0.000284056
MrChr6G11190	DK	TajD	1.64669
MrChr6G11520	DK	pi	0.000217396
MrChr6G11520	DK	TajD	2.15921
MrChr6G15980	DK	pi	0.000190715
MrChr6G15980	DK	TajD	2.15921
MrChr6G18230	DK	pi	0.000308479
MrChr6G18230	DK	TajD	-0.228737
MrChr6G18510	DK	pi	0.000924819
MrChr6G18510	DK	TajD	-0.821974
MrChr6G23290	DK	pi	0.000919701
MrChr6G23290	DK	TajD	1.63429
MrChr6G28950	DK	pi	0.000382263
MrChr6G28950	DK	TajD	-1.50368
MrChr6G29060	DK	pi	0.000241464
MrChr6G29060	DK	TajD	2.16737
MrChr6G29250	DK	pi	0.00129158
MrChr6G29250	DK	TajD	0.416827
MrChr6G30260	DK	pi	5.32E-05
MrChr6G30260	DK	TajD	-1.14244
MrChr6G30360	DK	pi	0.000285016
MrChr6G30360	DK	TajD	-2.17748
MrChr6G31330	DK	pi	0.000277404
MrChr6G31330	DK	TajD	-0.182102
MrChr6G32050	DK	pi	0.000580805
MrChr6G32050	DK	TajD	-0.448258
MrChr6G32520	DK	pi	0.000199706
MrChr6G32520	DK	TajD	-0.38605
MrChr6G32630	DK	pi	0
MrChr6G32930	DK	pi	0.00501152
MrChr6G32930	DK	TajD	-0.589997
MrChr6G33960	DK	pi	0.000337417
MrChr6G33960	DK	TajD	-2.43835
MrChr6G34080	DK	pi	0.000791139
MrChr6G34080	DK	TajD	-1.50368
MrChr6G34480	DK	pi	7.14E-05
MrChr6G34480	DK	TajD	-1.14244
MrChr6G36330	DK	pi	0
MrChr6G36890	DK	pi	0
MrChr7G02680	DK	pi	0
MrChr7G05190	DK	pi	0
MrChr7G06530	DK	pi	0.00119474
MrChr7G06530	DK	TajD	-0.138355
MrChr7G07480	DK	pi	8.04E-05
MrChr7G07480	DK	TajD	-0.782954
MrChr7G07580	DK	pi	0.000378072
MrChr7G07580	DK	TajD	2.03684
MrChr7G09040	DK	pi	0
MrChr7G14070	DK	pi	0.00205903
MrChr7G14070	DK	TajD	1.44835
MrChr7G15010	DK	pi	0
MrChr7G15710	DK	pi	0.000368523
MrChr7G15710	DK	TajD	1.44835
MrChr7G17490	DK	pi	0.000240493
MrChr7G17490	DK	TajD	1.44835
MrChr7G17640	DK	pi	0.00142163
MrChr7G17640	DK	TajD	2.02869
MrChr7G21410	DK	pi	0.000446069
MrChr7G21410	DK	TajD	2.01024
MrChr7G22250	DK	pi	0.000456052
MrChr7G22250	DK	TajD	1.44835
MrChr7G22830	DK	pi	0
MrChr7G23970	DK	pi	0.00153981
MrChr7G23970	DK	TajD	1.04974
MrChr7G25430	DK	pi	0
MrChr7G26600	DK	pi	0
MrChr7G29080	DK	pi	0.000143349
MrChr7G29080	DK	TajD	-1.14244
MrChr8G00050	DK	pi	0.000309406
MrChr8G00050	DK	TajD	-1.50368
MrChr8G00150	DK	pi	0.000288416
MrChr8G00150	DK	TajD	-2.28351
MrChr8G03410	DK	pi	0.000451141
MrChr8G03410	DK	TajD	-0.648547
MrChr8G03510	DK	pi	0.000237571
MrChr8G03510	DK	TajD	0.222175
MrChr8G07280	DK	pi	0
MrChr8G07380	DK	pi	0.000155473
MrChr8G07380	DK	TajD	-1.14244
MrChr8G10350	DK	pi	0.000116186
MrChr8G10350	DK	TajD	0.407075
MrChr8G12810	DK	pi	0.00041816
MrChr8G12810	DK	TajD	-0.291715
MrChr8G13580	DK	pi	0
MrChr8G14670	DK	pi	0.00085858
MrChr8G14670	DK	TajD	-0.138355
MrChr8G17330	DK	pi	0
MrChr8G18160	DK	pi	0
MrChr8G19840	DK	pi	0.000599971
MrChr8G19840	DK	TajD	-0.248485
MrChr8G20890	DK	pi	0.000311118
MrChr8G20890	DK	TajD	-1.6079
MrChr8G23620	DK	pi	0.0003389
MrChr8G23620	DK	TajD	-0.110896
MrChr8G26680	DK	pi	0.0016565
MrChr8G26680	DK	TajD	-1.06746
MrChr1G08080	DK	pi	0
MrChr1G09780	DK	pi	0.00212399
MrChr1G09780	DK	TajD	1.64669
MrChr1G19170	DK	pi	0.00125
MrChr1G19170	DK	TajD	-1.72954
MrChr1G19420	DK	pi	0
MrChr1G19540	DK	pi	0
MrChr1G20640	DK	pi	0
MrChr1G27420	DK	pi	0
MrChr1G28710	DK	pi	0
MrChr1G33490	DK	pi	0
MrChr1G33720	DK	pi	0.00356025
MrChr1G33720	DK	TajD	3.29756
MrChr1G34110	DK	pi	0.000435306
MrChr1G34110	DK	TajD	2.38426
MrChr1G34290	DK	pi	0.000178398
MrChr1G34290	DK	TajD	0.407075
MrChr1G35940	DK	pi	0
MrChr1G36170	DK	pi	0
MrChr2G00270	DK	pi	0.000486574
MrChr2G00270	DK	TajD	2.25625
MrChr2G07990	DK	pi	0
MrChr2G12760	DK	pi	0.00116161
MrChr2G12760	DK	TajD	-0.448258
MrChr2G13380	DK	pi	0.000720046
MrChr2G13380	DK	TajD	-1.60184
MrChr2G14980	DK	pi	0.00274537
MrChr2G14980	DK	TajD	2.16737
MrChr2G15080	DK	pi	0.000458277
MrChr2G15080	DK	TajD	-0.322054
MrChr2G15940	DK	pi	2.39E-05
MrChr2G15940	DK	TajD	-1.14244
MrChr2G20070	DK	pi	0.000148023
MrChr2G20070	DK	TajD	0.885258
MrChr2G20720	DK	pi	0.000115865
MrChr2G20720	DK	TajD	-0.422142
MrChr2G22690	DK	pi	0.00326165
MrChr2G22690	DK	TajD	-1.09746
MrChr2G29730	DK	pi	0.00185235
MrChr2G29730	DK	TajD	3.12259
MrChr2G31540	DK	pi	0
MrChr3G00410	DK	pi	0.00046724
MrChr3G00410	DK	TajD	-1.95358
MrChr3G02340	DK	pi	0
MrChr3G07520	DK	pi	0.000238696
MrChr3G07520	DK	TajD	-0.138355
MrChr3G08630	DK	pi	0.000149665
MrChr3G08630	DK	TajD	-2.00835
MrChr3G10840	DK	pi	0.000929416
MrChr3G10840	DK	TajD	-0.400619
MrChr3G11280	DK	pi	0.000127168
MrChr3G11280	DK	TajD	-1.79945
MrChr3G13530	DK	pi	0.000950514
MrChr3G13530	DK	TajD	1.64669
MrChr3G17490	DK	pi	0.00012089
MrChr3G17490	DK	TajD	-1.14244
MrChr3G20580	DK	pi	0.00110473
MrChr3G20580	DK	TajD	1.44835
MrChr3G22860	DK	pi	0.000141637
MrChr3G22860	DK	TajD	-0.847557
MrChr3G24570	DK	pi	0.00090661
MrChr3G24570	DK	TajD	1.57942
MrChr3G27600	DK	pi	0.00033329
MrChr3G27600	DK	TajD	1.56985
MrChr3G36870	DK	pi	0
MrChr3G37330	DK	pi	0
MrChr4G00140	DK	pi	0.00011132
MrChr4G00140	DK	TajD	0.146756
MrChr4G01860	DK	pi	0
MrChr4G04100	DK	pi	0.00553519
MrChr4G04100	DK	TajD	-0.422142
MrChr4G16850	DK	pi	0.0012182
MrChr4G16850	DK	TajD	0.402113
MrChr4G20600	DK	pi	0
MrChr4G25830	DK	pi	0
MrChr4G28200	DK	pi	0.000623095
MrChr4G28200	DK	TajD	-0.110896
MrChr4G28770	DK	pi	0.000103108
MrChr4G28770	DK	TajD	-0.138355
MrChr5G02770	DK	pi	0
MrChr5G05560	DK	pi	0
MrChr5G05940	DK	pi	0
MrChr5G06770	DK	pi	0
MrChr5G14460	DK	pi	0
MrChr5G16100	DK	pi	0
MrChr5G19910	DK	pi	0.000219666
MrChr5G19910	DK	TajD	-0.589997
MrChr5G21690	DK	pi	0.000162569
MrChr5G21690	DK	TajD	-0.52825
MrChr5G23610	DK	pi	0.000664406
MrChr5G23610	DK	TajD	-0.741089
MrChr5G23820	DK	pi	0
MrChr5G24620	DK	pi	0
MrChr5G26490	DK	pi	0.000182504
MrChr5G26490	DK	TajD	-0.716151
MrChr5G27260	DK	pi	0.000504527
MrChr5G27260	DK	TajD	1.63429
MrChr5G29380	DK	pi	0
MrChr6G09270	DK	pi	0.000309548
MrChr6G09270	DK	TajD	1.56962
MrChr6G10960	DK	pi	0.000290562
MrChr6G10960	DK	TajD	2.48667
MrChr6G13100	DK	pi	0.00137363
MrChr6G13100	DK	TajD	-1.50368
MrChr6G16410	DK	pi	0.000563492
MrChr6G16410	DK	TajD	2.88172
MrChr6G18260	DK	pi	0
MrChr6G19610	DK	pi	0
MrChr6G24100	DK	pi	0.000735982
MrChr6G24100	DK	TajD	1.07292
MrChr6G28880	DK	pi	0
MrChr6G28980	DK	pi	0.00242506
MrChr6G28980	DK	TajD	1.63429
MrChr6G29120	DK	pi	0.000280821
MrChr6G29120	DK	TajD	-1.03208
MrChr6G30080	DK	pi	0
MrChr6G30290	DK	pi	0
MrChr6G30390	DK	pi	0
MrChr6G31550	DK	pi	0.000241822
MrChr6G31550	DK	TajD	-0.716151
MrChr6G32080	DK	pi	8.31E-05
MrChr6G32080	DK	TajD	-0.448258
MrChr6G32550	DK	pi	7.41E-05
MrChr6G32550	DK	TajD	-0.899918
MrChr6G32660	DK	pi	0.000121093
MrChr6G32660	DK	TajD	-0.589997
MrChr6G32860	DK	pi	0
MrChr6G32970	DK	pi	0.0016401
MrChr6G32970	DK	TajD	-1.02893
MrChr6G34110	DK	pi	0
MrChr6G34560	DK	pi	0
MrChr6G36360	DK	pi	1.55E-05
MrChr6G36360	DK	TajD	-1.50368
MrChr7G00270	DK	pi	0.000316092
MrChr7G00270	DK	TajD	2.1864
MrChr7G02710	DK	pi	0.000239303
MrChr7G02710	DK	TajD	1.44835
MrChr7G07240	DK	pi	0
MrChr7G07510	DK	pi	0
MrChr7G07610	DK	pi	0.00229783
MrChr7G07610	DK	TajD	-0.319942
MrChr7G09620	DK	pi	0.000244626
MrChr7G09620	DK	TajD	1.44835
MrChr7G14630	DK	pi	0
MrChr7G15040	DK	pi	0
MrChr7G15850	DK	pi	0.00420069
MrChr7G15850	DK	TajD	2.73017
MrChr7G17560	DK	pi	0
MrChr7G18170	DK	pi	0
MrChr7G21440	DK	pi	0.00289743
MrChr7G21440	DK	TajD	1.90632
MrChr7G22280	DK	pi	0.000219941
MrChr7G22280	DK	TajD	1.44835
MrChr7G22700	DK	pi	0
MrChr7G22930	DK	pi	0.000992344
MrChr7G22930	DK	TajD	1.60918
MrChr7G24020	DK	pi	0
MrChr7G25470	DK	pi	0.000301709
MrChr7G25470	DK	TajD	2.15105
MrChr7G26630	DK	pi	0.000662232
MrChr7G26630	DK	TajD	0.146756
MrChr7G33420	DK	pi	0.000126263
MrChr7G33420	DK	TajD	-1.14244
MrChr8G00080	DK	pi	0.000199045
MrChr8G00080	DK	TajD	-1.50368
MrChr8G00180	DK	pi	0.000516529
MrChr8G00180	DK	TajD	-1.72954
MrChr8G01320	DK	pi	0
MrChr8G03440	DK	pi	0
MrChr8G03740	DK	pi	0.000584112
MrChr8G03740	DK	TajD	-1.14244
MrChr8G07310	DK	pi	0
MrChr8G08810	DK	pi	0
MrChr8G10380	DK	pi	0
MrChr8G13510	DK	pi	0.00384897
MrChr8G13510	DK	TajD	-0.209455
MrChr8G13640	DK	pi	0.00080182
MrChr8G13640	DK	TajD	-0.540175
MrChr8G14820	DK	pi	0
MrChr8G17680	DK	pi	0
MrChr8G18190	DK	pi	0
MrChr8G21970	DK	pi	0
MrChr8G25720	DK	pi	0.000206868
MrChr8G25720	DK	TajD	-2.23978
MrChr8G32300	DK	pi	0.00142568
MrChr8G32300	DK	TajD	2.23908
MrChr1G08060	DK	pi	0.000290941
MrChr1G08060	DK	TajD	2.72241
MrChr1G08970	DK	pi	0.000486267
MrChr1G08970	DK	TajD	2.37914
MrChr1G19150	DK	pi	0
MrChr1G19260	DK	pi	0.000219349
MrChr1G19260	DK	TajD	2.16737
MrChr1G19510	DK	pi	4.15E-05
MrChr1G19510	DK	TajD	0.331845
MrChr1G20620	DK	pi	0
MrChr1G21270	DK	pi	0
MrChr1G28050	DK	pi	0
MrChr1G33170	DK	pi	0.000112309
MrChr1G33170	DK	TajD	-1.50368
MrChr1G33570	DK	pi	0.000251367
MrChr1G33570	DK	TajD	1.14763
MrChr1G33700	DK	pi	0.00224708
MrChr1G33700	DK	TajD	2.19266
MrChr1G34090	DK	pi	0.00301665
MrChr1G34090	DK	TajD	3.33769
MrChr1G34270	DK	pi	0
MrChr1G35920	DK	pi	0
MrChr1G36150	DK	pi	0
MrChr2G00130	DK	pi	0.000132259
MrChr2G00130	DK	TajD	0.691337
MrChr2G07970	DK	pi	0.00324609
MrChr2G07970	DK	TajD	1.64669
MrChr2G12400	DK	pi	0.00120968
MrChr2G12400	DK	TajD	-0.589997
MrChr2G13360	DK	pi	0.00273224
MrChr2G13360	DK	TajD	2.03684
MrChr2G14960	DK	pi	0
MrChr2G15180	DK	pi	0
MrChr2G16830	DK	pi	5.42E-05
MrChr2G16830	DK	TajD	-1.14244
MrChr2G20700	DK	pi	0.000300599
MrChr2G20700	DK	TajD	1.64669
MrChr2G22670	DK	pi	0.00144593
MrChr2G22670	DK	TajD	-2.17953
MrChr2G29420	DK	pi	0.00126877
MrChr2G29420	DK	TajD	-1.02801
MrChr2G30300	DK	pi	0.000388651
MrChr2G30300	DK	TajD	2.19266
MrChr3G00210	DK	pi	0.00082713
MrChr3G00210	DK	TajD	1.44835
MrChr3G00490	DK	pi	0
MrChr3G05490	DK	pi	0.000640456
MrChr3G05490	DK	TajD	-1.93833
MrChr3G08050	DK	pi	0.00294273
MrChr3G08050	DK	TajD	-1.46585
MrChr3G10820	DK	pi	0
MrChr3G11160	DK	pi	0
MrChr3G13500	DK	pi	0.000319676
MrChr3G13500	DK	TajD	-1.17778
MrChr3G20560	DK	pi	0.00362228
MrChr3G20560	DK	TajD	-0.987778
MrChr3G22780	DK	pi	0
MrChr3G24190	DK	pi	7.95E-05
MrChr3G24190	DK	TajD	-1.14244
MrChr3G27580	DK	pi	0
MrChr3G29050	DK	pi	0.00112007
MrChr3G29050	DK	TajD	2.36072
MrChr3G36950	DK	pi	0
MrChr4G01840	DK	pi	0
MrChr4G04080	DK	pi	0.00140853
MrChr4G04080	DK	TajD	2.873
MrChr4G16510	DK	pi	0
MrChr4G20580	DK	pi	0
MrChr4G24430	DK	pi	0.000612193
MrChr4G24430	DK	TajD	1.77912
MrChr4G27510	DK	pi	0.000303503
MrChr4G27510	DK	TajD	-0.209455
MrChr4G28750	DK	pi	0
MrChr5G01160	DK	pi	0.00128777
MrChr5G01160	DK	TajD	0.788687
MrChr5G05540	DK	pi	0
MrChr5G05720	DK	pi	0.000283432
MrChr5G05720	DK	TajD	1.64669
MrChr5G06750	DK	pi	0
MrChr5G10750	DK	pi	0
MrChr5G16080	DK	pi	0
MrChr5G19810	DK	pi	0.000102038
MrChr5G19810	DK	TajD	-0.448258
MrChr5G21530	DK	pi	0
MrChr5G23590	DK	pi	0.000174473
MrChr5G23590	DK	TajD	-0.82475
MrChr5G23800	DK	pi	0.000193335
MrChr5G23800	DK	TajD	-0.741089
MrChr5G24600	DK	pi	0
MrChr5G25350	DK	pi	0.000128359
MrChr5G25350	DK	TajD	-0.589997
MrChr5G27130	DK	pi	0
MrChr5G29280	DK	pi	0
MrChr5G30260	DK	pi	0
MrChr6G10940	DK	pi	0.000498823
MrChr6G10940	DK	TajD	2.48041
MrChr6G11200	DK	pi	0.000439722
MrChr6G11200	DK	TajD	-2.71293
MrChr6G11530	DK	pi	0.000514864
MrChr6G11530	DK	TajD	2.15921
MrChr6G15990	DK	pi	9.91E-06
MrChr6G15990	DK	TajD	-1.14244
MrChr6G18240	DK	pi	0.000369796
MrChr6G18240	DK	TajD	-0.271247
MrChr6G18520	DK	pi	0.000358726
MrChr6G18520	DK	TajD	-0.661696
MrChr6G23300	DK	pi	0
MrChr6G28860	DK	pi	0
MrChr6G28960	DK	pi	0
MrChr6G29080	DK	pi	0.000551817
MrChr6G29080	DK	TajD	2.15921
MrChr6G29260	DK	pi	0.00018546
MrChr6G29260	DK	TajD	-1.50368
MrChr6G30270	DK	pi	0.000228495
MrChr6G30270	DK	TajD	-1.5812
MrChr6G30370	DK	pi	0
MrChr6G31420	DK	pi	0
MrChr6G32060	DK	pi	4.15E-05
MrChr6G32060	DK	TajD	-1.04684
MrChr6G32530	DK	pi	0
MrChr6G32640	DK	pi	0.00041078
MrChr6G32640	DK	TajD	-0.448258
MrChr6G32840	DK	pi	0
MrChr6G32940	DK	pi	0
MrChr6G33970	DK	pi	0.00025
MrChr6G33970	DK	TajD	-1.14244
MrChr6G34090	DK	pi	0.000892857
MrChr6G34090	DK	TajD	-1.50368
MrChr6G34490	DK	pi	0.000428152
MrChr6G34490	DK	TajD	-2.73399
MrChr6G36340	DK	pi	0
MrChr6G39440	DK	pi	3.50E-05
MrChr6G39440	DK	TajD	-2.00835
MrChr7G02690	DK	pi	0
MrChr7G05200	DK	pi	0
MrChr7G06540	DK	pi	0
MrChr7G07490	DK	pi	0
MrChr7G07590	DK	pi	0.000535747
MrChr7G07590	DK	TajD	2.15921
MrChr7G09600	DK	pi	0.0018512
